round	date	duration_s	params_m	train_loss	tokens_per_s	last_step	holdout_ce	holdout_ppl	notes
r030_dense28M_0.1B	2026-08-16 19:37	2572	28.497	2.906	40549	3200	3.5819	35.9433	dense 512x6 @0.1B slice; ΔW screening anchor (iso-N iso-D)
r031_loop28M_film_0.1B	2026-08-16 20:45	4081	28.499	2.847	24336	3200	3.4926	32.8723	loop 512x6 x2 FiLM-only @0.1B; ΔW control (identical except dw)
r032_loop28M_dw8_0.1B	2026-08-16 20:55	614	FAILED	0	0	loop 512x6 x2 + dw_rank=8 @0.1B; weight-space per-step diversity
r032_loop28M_dw8_0.1B	2026-08-16 21:32	1732	FAILED	0	0	loop 512x6 x2 + dw_rank=8 @0.1B; rerun after bf16 fix
r042_hrm768_P1_H2L3_0.1B	2026-08-16 22:50	2050	28.503	3.238	24079	1900	3.7889	44.2056	HRM faithful H=2 L=3 P=1 h=768 emb_scale=27.71 bp=2 @0.1B; killed step1900. Same-D step1900 main 2.469 vs dense r030 2.434 (+0.035) at 3.0x per-token FLOPs -> HRM route CLOSED at 28M scale
r044_san384x44_none_10M	2026-08-16 23:15	496	28.448	3.845	16626	200	6.3672	582.4007	SAN smoke: ffn=none h=384 L=44 kv160 ZCN+resgate+san_init emb_scale=7.68 lr0.02 @10M max8min
r045_dense512x6_10M	2026-08-16 23:20	249	28.497	4.107	40143	300	6.0482	423.3371	dense 512x6 baseline @10M slice; matched data/schedule for SAN screening
r046_san384x44_none_10M	2026-08-16 23:27	421	FAILED	0	0	SAN ffn=none h=384 L=44 N=28.45M @10M full; ZCN+resgate+san_init emb_scale=7.68 lr0.02
r046_san384x44_none_10M	2026-08-16 23:40	590	28.448	3.309	16792	300	6.1485	468.0145	SAN ffn=none h=384 L=44 N=28.45M @10M full; ZCN+resgate+san_init emb_scale=7.68 lr0.02
r047_san384x44_had_10M	2026-08-16 23:52	695	28.516	3.252	14298	300	6.0613	428.9506	SAN ffn=hadamard h=384 L=44 N=28.52M @10M full; FWHT-loose eval; CE 6.0613 vs dense 6.0482 / SAN-pure 6.1485
r048_san384x40_engram_10M	2026-08-17 00:19	1620	28.58	3.850	5316	200			KILLED: memory 35.3G peak47.1G/48G, stalled >20min after step200. Engram+SAN graph too heavy for M4; route suspended, not a quality verdict.
r049_dense512x6_had_34M	2026-08-17 00:31	730	10.617	3.725	49204	1000	4.3022	73.8589	dense-Hadamard 512x6 N=10.6M @34M; iso-matmul-FLOPs vs r045 dense@10M; FWHT mixer
r050_dense512x6_had_10M	2026-08-17 00:34	199	10.617	4.483	50294	300	6.1479	467.7246	dense-Hadamard 512x6 N=10.6M @10M; iso-D ablation vs r045 dense@10M
r051_dense896x8_had_10M	2026-08-17 00:43	479	28.871	4.178	20800	300	6.0086	406.8969	dense-Hadamard h=896 L=8 N=28.87M @10M; iso-N near-iso-FLOPs vs dense512x6 (FWHT mixer)
r052_dense512x6_had_26M	2026-08-17 00:54	605	10.617	3.890	45136	800	4.6162	101.1082	dense-Hadamard 512x6 N=10.62M @26M; strict iso-total-FLOPs vs r045 dense@10M
r053_dense896x8_had_sand_10M	2026-08-17 01:03	519	28.879	4.073	19242	300	5.2969	199.7172	dense-Hadamard h=896 L=8 + sandwich_norm @10M; paper ablation free -0.009 nats
r054_dense896x8_had_sand_0.1B	2026-08-17 02:37	4839	28.879	3.062	20514	3200	3.5591	35.1318	dense-Hadamard h=896 L=8 + sandwich_norm @0.1B; verification of r053 CE 5.2969 vs dense 6.0482
r056_dense512x6_had_sand_26M	2026-08-17 02:46	529	10.620	3.832	48972	800	4.4964	89.6918	dense-Hadamard 512x6 + sandwich_norm @26M; small-N iso-FLOPs sandwich ablation vs r052
r055_dense896x8_had_sand_10M_s2	2026-08-17 02:55	482	28.879	4.255	20658	300	5.4261	227.2536	r053 repeat seed=2: dense-Hadamard h896 L8 + sandwich @10M
r057_dense512x6_10M_s2	2026-08-17 02:59	244	28.497	4.253	41161	300	6.0892	441.0622	dense 512x6 @10M seed=2; seed-noise floor for r053 comparison
r058_dense512x6_had_sand_full	2026-08-17 05:55	6942	10.620	3.013	49213	11100	2.2761	9.7384	dense-Hadamard 512x6 + sandwich_norm @343M full epoch; small-N long-D scaling probe
r059_dense384x6_had_sand_34M	2026-08-17 09:22	1343	6.923	3.798	23921	1000	4.2174	67.8592	small-N grid: denseHad 384x6 N=7.18M @34M
r060_dense448x8_had_sand_34M	2026-08-17 09:23	70	FAILED	0	0	small-N grid: denseHad 448x8 N=10.43M @34M
r063_dense384x6_had_sand_10M	2026-08-17 09:37	184	6.923	4.454	54366	300	5.8114	334.0800	lean-Engram screen control: denseHad 384x6 +sandwich @10M
r064_dense384x6_had_sand_eng_10M	2026-08-17 09:42	266	8.170	4.472	37457	300	5.8349	342.0400	lean Engram on denseHad 384x6 +sandwich @10M: site(2) orders(2,3) slots4096 sub128, +1.2M table params; B1 knowledge arm
r065_dense384x6_had_sand_eng_34M	2026-08-17 10:01	922	8.170	3.808	36694	1000	4.2564	70.5563	lean Engram @34M: site(2) orders(2,3) slots4096 sub128 on denseHad 384x6 +sandwich; control=r059 CE 4.2174; tests if knowledge-memory gain needs longer D
r066_dense384x6_had_sand_eng2_34M	2026-08-17 10:22	901	10.366	3.791	37442	1000	4.2273	68.5300	engram-v2: value_proj zero-init + orders(1,2,3) slots8192 heads2 sub64 (+3.4M, N=10.36M) on denseHad 384x6 sand @34M; control=r059 CE 4.2174
r067_hrm384x2H2L2_had_sand_eng_full	2026-08-17 11:13	2177	FAILED	0	0	HRM(384,P2,H2,L2,emb_scale19.6)+hadamard+sandwich+engram-v2(site1,orders123,slots8192,sub64) @343M full; fusion probe vs r058 CE 2.2761
